date,stock_code,open,high,low,close
2023-12-27,ASII,5550,5575,5500,5550
2023-12-28,ASII,5575,5600,5550,5600
2023-12-29,ASII,5600,5675,5575,5650
2024-01-02,ASII,5625,5700,5575,5700
2024-01-03,ASII,5700,5700,5600,5600
2024-01-04,ASII,5600,5750,5600,5700
2024-01-05,ASII,5725,5750,5625,5625
2024-01-08,ASII,5625,5675,5550,5575
2024-01-09,ASII,5600,5600,5525,5575
2024-01-10,ASII,5500,5575,5450,5525
2024-01-10,ASII,5500,5575,5450,5525
2024-01-11,ASII,5550,5625,5525,5550
2024-01-12,ASII,5550,5625,5550,5600
2024-01-15,ASII,5600,5625,5500,5525
2024-01-16,ASII,5525,5525,5475,5500
2024-01-17,ASII,5500,5525,5350,5400
2024-01-18,ASII,5400,5400,5325,5375
2024-01-19,ASII,5375,5400,5300,5350
2024-01-22,ASII,5350,5425,5225,5225
2024-01-23,ASII,5150,5200,5075,5125
2024-01-24,ASII,5150,5175,4980,5075
2024-01-25,ASII,5075,5150,5025,5050
2024-01-26,ASII,5050,5075,4990,5075
2024-01-29,ASII,5075,5075,4910,4930
2024-01-30,ASII,4920,5175,4900,5100
2024-01-31,ASII,5125,5150,5050,5125
2024-02-01,ASII,5100,5175,5075,5125
2024-02-02,ASII,5150,5325,5125,5325
2024-02-05,ASII,5325,5350,5150,5175
2024-02-06,ASII,5175,5275,5150,5250
2024-02-07,ASII,5250,5325,5250,5325
2024-02-12,ASII,5300,5350,5225,5300
2024-02-13,ASII,5300,5300,5150,5200
2024-02-15,ASII,5325,5325,5075,5125
2024-02-16,ASII,5125,5200,5100,5200
2024-02-19,ASII,5200,5250,5075,5125
2024-02-20,ASII,5125,5250,5125,5200
2024-02-21,ASII,5200,5300,5175,5250
2024-02-22,ASII,5275,5300,5275,5275
2024-02-23,ASII,5250,5275,5100,5125
2024-02-26,ASII,5150,5200,5075,5125
2024-02-27,ASII,5125,5175,5050,5175
2024-02-28,ASII,5325,5425,5200,5225
2024-02-29,ASII,5250,5300,5200,5225
2024-03-01,ASII,5225,5275,5150,5225
2024-03-04,ASII,5250,5275,5175,5200
2024-03-05,ASII,5225,5225,5100,5100
2024-03-06,ASII,5125,5200,5100,5175
2024-03-07,ASII,5175,5200,5100,5125
2024-03-08,ASII,5150,5175,5125,5150
2024-03-13,ASII,5150,5200,5125,5150
2024-03-14,ASII,5175,5300,5150,5275
2024-03-15,ASII,5300,5300,5175,5175
2024-03-18,ASII,5200,5250,5150,5150
2024-03-19,ASII,5150,5250,5150,5225
2024-03-20,ASII,5225,5275,5225,5275
2024-03-21,ASII,5300,5400,5275,5350
2024-03-22,ASII,5375,5375,5325,5375
2024-03-25,ASII,5375,5425,5325,5350
2024-03-26,ASII,5350,5375,5250,5300
2024-03-27,ASII,5300,5325,5250,5275
2024-03-28,ASII,5275,5275,5100,5150
2024-04-01,ASII,5175,5225,5150,5200
2024-04-02,ASII,5225,5275,5175,5275
2024-04-03,ASII,5275,5275,5200,5250
2024-04-04,ASII,5250,5250,5150,5175
2024-04-05,ASII,5150,5325,5150,5275
2024-04-16,ASII,5175,5225,5100,5100
2024-04-17,ASII,5150,5175,5100,5125
2024-04-18,ASII,5150,5150,5050,5100
2024-04-19,ASII,5050,5075,4870,4900
2024-04-22,ASII,4940,4990,4940,4950
2024-04-23,ASII,4990,5075,4990,5025
2024-04-24,ASII,5000,5050,4910,4910
2024-04-25,ASII,4910,4980,4910,4950
2024-04-26,ASII,4980,4980,4880,4880
2024-04-29,ASII,4920,5050,4900,5025
2024-04-30,ASII,5050,5225,4980,5150
2024-05-02,ASII,5225,5275,5175,5175
2024-05-03,ASII,5225,5250,5200,5225
2024-05-06,ASII,5250,5250,5075,5100
2024-05-07,ASII,5100,5125,5025,5050
2024-05-08,ASII,5075,5150,5000,5125
2024-05-13,ASII,5150,5175,5075,5075
2024-05-14,ASII,4680,4690,4580,4580
2024-05-15,ASII,4570,4620,4530,4530
2024-05-16,ASII,4590,4720,4540,4710
2024-05-17,ASII,4710,4810,4690,4800
2024-05-20,ASII,4800,4830,4730,4740
2024-05-21,ASII,4750,4770,4700,4700
2024-05-22,ASII,4720,4730,4700,4710
2024-05-27,ASII,4700,4720,4550,4550
2024-05-28,ASII,4560,4600,4510,4510
2024-05-29,ASII,4800,4800,4370,4460
2024-05-30,ASII,4450,4450,4310,4320
2024-05-31,ASII,4340,4370,4290,4290
